passing_yards,passing_epa,passing_cpoe,pacr,roof,surface,temp,wind,is_home,def_tackles_solo_y,def_tackles_with_assist_y,def_tackle_assists_y,def_tackles_for_loss_y,def_tackles_for_loss_yards_y,def_fumbles_forced_y,def_sacks_y,def_sack_yards_y,def_qb_hits_y,def_interceptions_y,def_interception_yards_y,def_pass_defended_y,def_tds_y,def_fumbles_y,def_safeties_y,comp_percent,avg_time_to_throw,aggressiveness,passer_rating,expected_completion_percentage,completion_percentage_above_expectation,cumulative_avg,def_recent_avg_allowed,def_5game_avg_allowed,def_trend,def_consistency
450,17.073441614049575,13.41648392379284,0.8620689655172413,closed,matrixturf,,,0,37,1,43,4,21,0,2.0,14.0,6,1,0,2,0,0,0,0.7317073170731707,2.686243902439025,7.317073170731707,123.01829268292684,64.84585365853658,8.32487804878049,152.0,152.0,152.0,0.0,79.883428127305
180,-23.067928140179568,-15.258365453675736,0.6185567010309279,dome,grass,,,1,38,3,23,6,45,0,3.0,30.0,5,3,8,15,0,0,0,0.5581395348837209,3.10786046511628,27.906976744186046,36.9670542635659,65.65116279069768,-9.83720930232559,258.0,258.0,258.0,0.0,79.883428127305
361,10.098487662582055,2.1017412153574138,1.0314285714285714,closed,matrixturf,,,1,63,0,24,8,24,0,3.0,18.0,7,1,0,9,0,0,0,0.7307692307692307,2.659269230769231,23.076923076923077,96.71474358974358,60.713461538461544,12.363461538461522,233.0,233.0,233.0,0.0,79.883428127305
334,24.103420304085983,14.942416335855212,1.218978102189781,dome,fieldturf,,,1,38,4,24,4,15,0,0.0,0.0,4,0,0,0,0,0,0,0.8214285714285714,3.108392857142857,21.428571428571427,155.95238095238096,65.32464285714285,16.81821428571429,143.0,143.0,143.0,0.0,79.883428127305
32,2.519746646983549,-5.59253990650177,1.28,outdoors,fieldturf,80.0,3.0,0,36,4,40,4,9,1,1.0,1.0,2,0,0,6,0,0,0,0.5,,,,,,138.0,138.0,138.0,0.0,149.90663761154806
187,-7.1535654113225045,-5.841067638890497,0.6051779935275081,outdoors,grass,88.0,12.0,1,35,3,23,4,7,1,2.0,14.0,10,1,41,4,0,0,0,0.5517241379310345,2.587344827586207,20.689655172413794,72.05459770114942,67.08827586206897,-11.915862068965524,188.0,188.0,188.0,0.0,79.883428127305
12,-0.1123071780893951,22.50007688999176,0.0,outdoors,grass,79.0,5.0,1,35,5,23,2,14,0,3.0,20.0,8,2,28,5,0,0,0,1.0,,,,,,240.0,240.0,240.0,0.0,52.32590180780452
225,9.342703126255495,6.713613335575376,0.8241758241758241,outdoors,grass,82.0,3.0,1,25,3,29,5,25,1,3.0,28.0,5,0,0,5,0,0,0,0.6551724137931034,2.912896551724138,20.689655172413794,128.59195402298852,57.359655172413795,8.157586206896553,113.0,113.0,113.0,0.0,79.883428127305
215,-0.643385174034916,1.9042374359236824,0.7072368421052632,closed,astroturf,,,0,50,3,15,6,26,1,4.0,24.0,6,0,0,3,0,0,0,0.6578947368421053,2.430605263157895,10.526315789473683,98.02631578947368,64.56026315789474,1.2292105263157964,245.0,245.0,245.0,0.0,79.883428127305
148,-2.247475089648096,-9.384852129480112,1.2231404958677683,outdoors,fieldturf,80.0,3.0,0,36,4,40,4,9,1,1.0,1.0,2,0,0,6,0,0,0,0.56,2.93752,12.0,73.41666666666667,66.5584,-10.5584,138.0,138.0,138.0,0.0,149.90663761154806
